Abreviacion,Nombre
01 WEBBANK DELL,Web Bank - Dell Financial Services
05 LOANME INC,LoanMe Bank
05 PALM BEACH SHORES RESORT OA,Palm Beach Shores - Resort
08 ZOCALOANS,Zoca Loans
12 CELTIC BANK,Celtic Bank
12 CREDIT ONE BANK N A,Credit One Bank
12 DESTINY MASTERCARD,Destiny Mastercard - First Electronic Bank
12 EMPIRE FINANCE,EMPIRE FINANCIAL
12 INDIGO MASTERCARD,Indigo Card - Mastercard
12 THE BANK OF MISSOURI TOTAL V,The Bank of Missouri
15 LEND NATION,Lend National Bank
1ST CITZ V,First Citizens Bank
1ST FRNKLN,1st Franklin Financial (UNACCEPTABLE CREDITOR)
1ST SAV CC,First Savings Credit Card
1STADVNTGE,1st Advantage Bank
1STFRANKLI,1st Franklin Financial (UNACCEPTABLE CREDITOR)
1STHERITAGE,1st heritage credit
5 STAR FCU,Five Star Credit Union
53 BANK,Fifth Third Bank
AA FCU,American Airlines Federal Credit Union
ABILENEFCU,Abilene teachers federal credit union
ABOVELENDI,Above Lending
ACHIEVE PL,Achieve Personal Loan
AFFIRM CREDIT,Affirm Credit
ALLIANCEDA,Alliance Bank
ALLY CC,Ally Credit Card
AMER 1STVS,America First Credit Union
AMER FST CU,American First Credit Union
AMERICAN EXPRESS TRS,American Express
AMERICOLLECT,"American Collection Enterprises, Inc."
AMEX,American Express Credit Cards
APOYO FINANC,Apoyo Financiero
APPLE CARD,Apple Card
APPLIED BNK,Applied Bank
ARDENT CREDIT UNION,ARDENT CREDIT UNION
ARROWHD CU,Arrowhead Credit Union
ASHRO,Ashro Banks
ASPIRE/TBOM,Aspire - The Bank Of Missuri
AT&T WIRELESS,AT&T Bank
AVANT/WEBB,AVANT WEB BANK
BADCOCK,Badcock
BANK OF AMERICA,BANK OF AMERICA
BANK OF HI,Bank of Hawaii
BARCLAYS BANK DELAWA,Barclays Bank Delaware
BARCLAYSBK,Barclays Bank
BAYR HTG CU,Bayer Heritage Federal Credit Union
BB&T,Branch Banking & Trust
BECU,BECU Credit Union
BEST BUY/CBNA,BEST BUY / Citi Bank of America
BEST EGG,Best Egg: Personal Loans
BESTEGG,BEST EGG
BFCU/SEFCU,Broadview FCU
BHFCU SPEA,Black Hills Federal Credit Union
BHG FINANCIAL,BHG Financial
BLINCLOANS,OneBlinc Loans
BOA,Bank of America
BOW,Bank Of the West
BRCLYATHLETA,Athleta Barclays Bank
BRCLYBANREP,Barclays Bank Delaware / Banana Republic
BRCLYBNREP,BERKELEY BANK
BRCLYGAP,Gap Barclays
BRCLYODNVY,Barclay's Old Navy
BRCLYODVNY,Barclay's Old Navy
BURLINGTON,Bank of Burlington
CAP ONE,Capital One
CAP1,Capital One
CAP1/MNRDS,Capital One/Menards
CAPITAL ONE,Capital One
CASHNETUSA,Cash net USA
CAVALRY INVESTMENTS LLC,Cavalry Investments
CB INDIGO,Celtic Bank Indigo
CB/ANNTYLR,Comenity Bank /  Ann Taylor Credit Card
CB/ASHSTWRT,Comenity Bank - The Ashley Stewart
CB/ATYLRLMC,Comenity Bank / Ann Taylor Your Life Rewards Loyalty Mastercard
CB/ATYRLMC,CB bank
CB/BEALLS,Comenity Bank/Bealls Credit Card
CB/BON TON,Comenity Bon Ton Credit Card
CB/BRDRWDS,Comenity Bank/Brand Rewards - Bread Rewards American Express
CB/BREADRWDS,CB Bank - Bread Rewards
CB/BRYHOME,Comenity Bank - Brylane Home
CB/BUCKLE,CB Bank - Buckle
CB/JCREW,Comenity bank J crew credit card
CB/KAY,Comenity Bank KAY
CB/KAYJWL,Comenity Bank - Kay Jewelers
CB/KNGSZE,Comenity Bank / KING SIZE
CB/LNBRYANT,Comenity Bank - Lane Bryant Credit Card
CB/MAURICE,Mauritius Commercial Bank
CB/ROAMANS,Comenity Bank - Roaman's Platinum Credit Card
CB/TORRID,Comenity Bank/Torrid credit card
CB/VENUS,Comenity Bank Venus
